case_id,customer_id,failure_category,final_action,policy_action,permitted_actions,recovery_sequence,decision_reason,guardrail_status,guardrail_reason,recovery_probability,expected_recovery,action_cost,erv
CASE_000029,UNSEEN_CUST_01039,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9963698822669352,11009.01039355324,2.0,11007.01039355324
CASE_000030,UNSEEN_CUST_00219,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.99891050357349,24430.913575778843,2.0,24428.913575778843
CASE_000031,UNSEEN_CUST_01431,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7706019784805879,26765.62675935765,5.0,26760.62675935765
CASE_000032,UNSEEN_CUST_00300,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.958328335991324,5393.136460041575,2.0,5391.136460041575
CASE_000033,UNSEEN_CUST_00454,authentication_failed,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8126118982992483,5430.888469308451,5.0,5425.888469308451
CASE_000034,UNSEEN_CUST_01029,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.699256317189535,16138.32534362292,5.0,16133.32534362292
CASE_000035,UNSEEN_CUST_00941,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9922367818465906,32769.1257612424,2.0,32767.1257612424
CASE_000036,UNSEEN_CUST_01055,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8138067977672733,10106.096956713329,5.0,10101.096956713329
CASE_000037,UNSEEN_CUST_00813,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9772839668838929,14786.19891771694,2.0,14784.19891771694
CASE_000038,UNSEEN_CUST_00647,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8956346455912098,3980.7019204088674,5.0,3975.7019204088674
CASE_000039,UNSEEN_CUST_00908,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7679094340521522,29500.231512283357,5.0,29495.231512283357
CASE_000040,UNSEEN_CUST_00413,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9810225132560296,47458.88688288641,2.0,47456.88688288641
CASE_000041,UNSEEN_CUST_01137,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8991768885556527,35707.62704280226,5.0,35702.62704280226
CASE_000042,UNSEEN_CUST_00928,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8536070782925632,41838.44978937899,5.0,41833.44978937899
CASE_000043,UNSEEN_CUST_01951,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8070249971419802,35048.99878287654,5.0,35043.99878287654
CASE_000044,UNSEEN_CUST_00185,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8830570564192278,26207.63223752677,5.0,26202.63223752677
CASE_000045,UNSEEN_CUST_00993,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8496824453595244,12734.054859411935,5.0,12729.054859411935
CASE_000046,UNSEEN_CUST_00581,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9755253089925954,7819.596261316666,2.0,7817.596261316666
CASE_000047,UNSEEN_CUST_00963,blocked_instrument,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'blocked_instrument'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.6716226166762297,12928.513735553915,25.0,12903.513735553915
CASE_000048,UNSEEN_CUST_01884,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.489569355726521,19284.117339293432,5.0,19279.117339293432
CASE_000049,UNSEEN_CUST_01340,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9904899812468152,12372.26978515284,2.0,12370.26978515284
CASE_000050,UNSEEN_CUST_01418,risk_decline,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'risk_decline'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.2605690745544316,3465.063187569305,25.0,3440.063187569305
CASE_000051,UNSEEN_CUST_00977,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9989852356303726,13847.224056790928,2.0,13845.224056790928
CASE_000052,UNSEEN_CUST_01654,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8875219764780747,18764.69964428064,5.0,18759.69964428064
CASE_000053,UNSEEN_CUST_01787,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,High-value case permitted for controlled recovery.,0.990403322069676,96194.91336669464,2.0,96192.91336669464
CASE_000054,UNSEEN_CUST_01093,authentication_failed,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8283947600124841,1739.7118355022178,5.0,1734.7118355022178
CASE_000055,UNSEEN_CUST_00390,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7783284989117146,9189.732369935604,5.0,9184.732369935604
CASE_000056,UNSEEN_CUST_00832,limit_exceeded,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.6540477951242069,12509.73672013446,5.0,12504.73672013446
CASE_000057,UNSEEN_CUST_00577,authentication_failed,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7446817862117373,4165.571188439768,5.0,4160.571188439768
CASE_000058,UNSEEN_CUST_01029,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.99701521313856,31874.85552829944,2.0,31872.85552829944
CASE_000059,UNSEEN_CUST_00096,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.894574137264476,14781.93409841683,5.0,14776.93409841683
CASE_000060,UNSEEN_CUST_00342,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9985758918731752,7286.328681748836,2.0,7284.328681748836
CASE_000061,UNSEEN_CUST_01725,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8467606805890112,9726.714535105551,5.0,9721.714535105551
CASE_000062,UNSEEN_CUST_00402,authentication_failed,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8035862093343276,24208.10687895546,5.0,24203.10687895546
CASE_000063,UNSEEN_CUST_01023,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8203870412171127,18581.093766193804,5.0,18576.093766193804
CASE_000064,UNSEEN_CUST_00122,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7180494074321739,12528.66249026398,5.0,12523.66249026398
CASE_000065,UNSEEN_CUST_01194,risk_decline,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'risk_decline'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.5305838035475027,6390.223989813271,25.0,6365.223989813271
CASE_000066,UNSEEN_CUST_01359,authentication_failed,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.6990154671011868,20749.561145122287,5.0,20744.561145122287
CASE_000067,UNSEEN_CUST_01143,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7501630150846696,35937.84951801704,5.0,35932.84951801704
CASE_000068,UNSEEN_CUST_00492,blocked_instrument,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'blocked_instrument'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.7212478021513067,2717.1135701764883,25.0,2692.1135701764883
CASE_000069,UNSEEN_CUST_01342,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9990427389426006,5849.145475824191,2.0,5847.145475824191
CASE_000070,UNSEEN_CUST_00342,blocked_instrument,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'blocked_instrument'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.8110342305056418,15272.764022182451,25.0,15247.764022182451
CASE_000071,UNSEEN_CUST_00084,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8203391278223976,37623.320063405234,5.0,37618.320063405234
CASE_000072,UNSEEN_CUST_00163,blocked_instrument,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'blocked_instrument'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.7032005382119159,33548.96634953076,25.0,33523.96634953076
CASE_000073,UNSEEN_CUST_00690,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7072670844591261,26199.690679186704,5.0,26194.690679186704
CASE_000074,UNSEEN_CUST_00914,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,High-value case permitted for controlled recovery.,0.9804853955295288,85960.41945223401,2.0,85958.41945223401
CASE_000075,UNSEEN_CUST_01447,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.6876978678112279,23383.900630844037,5.0,23378.900630844037
CASE_000076,UNSEEN_CUST_01028,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9953950169215524,16573.794867401804,2.0,16571.794867401804
CASE_000077,UNSEEN_CUST_00556,risk_decline,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'risk_decline'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.0166424189044375,29.25387752603135,25.0,4.253877526031349
CASE_000078,UNSEEN_CUST_00349,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.6076362768558066,21784.362085194756,5.0,21779.362085194756
CASE_000079,UNSEEN_CUST_00078,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.99049810173778,18042.636081786917,2.0,18040.636081786917
CASE_000080,UNSEEN_CUST_01241,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.92611756879525,36218.96706629646,2.0,36216.96706629646
CASE_000081,UNSEEN_CUST_00212,risk_decline,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'risk_decline'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.1456946740607385,6654.733905984146,25.0,6629.733905984146
CASE_000082,UNSEEN_CUST_00228,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9866089427077728,2493.042405149417,2.0,2491.042405149417
CASE_000083,UNSEEN_CUST_01933,limit_exceeded,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.5398442347883478,21136.872223420796,5.0,21131.872223420796
CASE_000084,UNSEEN_CUST_01052,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9961059731216586,30330.390931342456,2.0,30328.390931342456
CASE_000085,UNSEEN_CUST_00198,limit_exceeded,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.4718414518376113,1243.9109010649763,5.0,1238.9109010649763
CASE_000086,UNSEEN_CUST_01583,expired_instrument,stop,reminder,"reminder,escalate","reminder,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8081849289389442,13149.112220891597,5.0,13144.112220891597
CASE_000087,UNSEEN_CUST_00603,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7763274000539501,38304.20352705991,5.0,38299.20352705991
CASE_000088,UNSEEN_CUST_00025,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.8747949805144914,9865.264198107438,5.0,9860.264198107438
CASE_000089,UNSEEN_CUST_01664,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.6924469475233742,23428.984016270217,5.0,23423.984016270217
CASE_000090,UNSEEN_CUST_00351,limit_exceeded,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.5243032413684856,16453.689563658227,5.0,16448.689563658227
CASE_000091,UNSEEN_CUST_01084,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9924771315071104,36782.96910294759,2.0,36780.96910294759
CASE_000092,UNSEEN_CUST_00575,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9966116462383092,3727.9653883848687,2.0,3725.9653883848687
CASE_000093,UNSEEN_CUST_01850,risk_decline,escalate,escalate,escalate,escalate,Policy selected 'escalate' for failure category 'risk_decline'. Guardrail allowed execution.,allowed,Case routed to manual review.,0.1215987192764735,4925.054559469755,25.0,4900.054559469755
CASE_000094,UNSEEN_CUST_01010,timeout,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'timeout'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9790101255125836,31769.475769059904,2.0,31767.475769059904
CASE_000095,UNSEEN_CUST_00055,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.6700948702811613,29155.211318652677,5.0,29150.211318652677
CASE_000096,UNSEEN_CUST_01872,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.7779917445430483,32878.46793869296,5.0,32873.46793869296
CASE_000097,UNSEEN_CUST_00683,unknown_failure,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.5283552393403641,453.40804863993344,5.0,448.40804863993344
CASE_000098,UNSEEN_CUST_01759,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9993438036307748,14084.731581496066,2.0,14082.731581496066
CASE_000099,UNSEEN_CUST_00676,temporary_bank_failure,retry,retry,"retry,reminder,escalate","retry,reminder,escalate",Policy selected 'retry' for failure category 'temporary_bank_failure'. Guardrail allowed execution.,allowed,Action passed all guardrails.,0.9940098137693298,49524.59071182188,2.0,49522.59071182188
CASE_000100,UNSEEN_CUST_00751,insufficient_funds,stop,reminder,"reminder,retry,escalate","reminder,retry,escalate",Policy-selected action 'reminder' was blocked by a recovery guardrail: Customer has not opted into communication.,blocked,Customer has not opted into communication.,0.91503882272011,76023.29207078507,5.0,76018.29207078507
