invoice_id,customer_id,amount,status,due_date,paid_at,days_overdue,failure_code,failure_category,created_at
UNSEEN_INV_000024,UNSEEN_CUST_00024,28595.54,paid,2026-06-17 20:09:43.406543,2026-06-12 20:09:43.406543,0,,,2026-05-20 20:09:43.406543
UNSEEN_INV_000025,UNSEEN_CUST_00025,9856.06,paid,2026-07-04 20:09:43.406543,2026-07-04 20:09:43.406543,0,,,2026-06-26 20:09:43.406543
UNSEEN_INV_000026,UNSEEN_CUST_00026,46359.48,paid,2026-03-27 20:09:43.406543,2026-03-27 20:09:43.406543,0,,,2026-03-11 20:09:43.406543
UNSEEN_INV_000027,UNSEEN_CUST_00027,49599.05,paid,2026-07-17 20:09:43.407537,2026-07-13 20:09:43.407537,0,,,2026-07-10 20:09:43.407537
UNSEEN_INV_000028,UNSEEN_CUST_00028,9523.8,paid,2026-07-11 20:09:43.407537,2026-07-11 20:09:43.407537,0,,,2026-06-23 20:09:43.407537
UNSEEN_INV_000029,UNSEEN_CUST_00029,99784.46,paid,2026-05-11 20:09:43.407537,2026-05-08 20:09:43.407537,0,,,2026-04-24 20:09:43.407537
UNSEEN_INV_000030,UNSEEN_CUST_00030,7956.23,cancelled,2026-09-16 20:09:43.407537,,0,,,2026-08-21 20:09:43.407537
UNSEEN_INV_000031,UNSEEN_CUST_00031,20246.37,cancelled,2026-07-07 20:09:43.407537,,0,,,2026-06-20 20:09:43.407537
UNSEEN_INV_000032,UNSEEN_CUST_00032,53588.74,paid,2026-09-02 20:09:43.407537,2026-08-30 20:09:43.407537,0,,,2026-08-13 20:09:43.407537
UNSEEN_INV_000033,UNSEEN_CUST_00033,17128.85,paid,2026-05-17 20:09:43.407537,2026-05-15 20:09:43.407537,0,,,2026-04-24 20:09:43.407537
UNSEEN_INV_000034,UNSEEN_CUST_00034,9347.23,overdue,2026-05-11 20:09:43.407537,,6,PROCESSING_TIMEOUT,timeout,2026-04-25 20:09:43.407537
UNSEEN_INV_000035,UNSEEN_CUST_00035,142621.23,paid,2026-04-28 20:09:43.408541,2026-04-26 20:09:43.408541,0,,,2026-04-19 20:09:43.408541
UNSEEN_INV_000036,UNSEEN_CUST_00036,1686.09,paid,2026-03-16 20:09:43.408541,2026-03-12 20:09:43.408541,0,,,2026-03-05 20:09:43.408541
UNSEEN_INV_000037,UNSEEN_CUST_00037,15763.26,paid,2026-06-15 20:09:43.408541,2026-06-13 20:09:43.408541,0,,,2026-05-21 20:09:43.408541
UNSEEN_INV_000038,UNSEEN_CUST_00038,54709.36,paid,2026-08-01 20:09:43.408541,2026-07-30 20:09:43.408541,0,,,2026-07-12 20:09:43.408541
UNSEEN_INV_000039,UNSEEN_CUST_00039,64815.86,paid,2026-03-31 20:09:43.408541,2026-03-27 20:09:43.408541,0,,,2026-03-04 20:09:43.408541
UNSEEN_INV_000040,UNSEEN_CUST_00040,66825.35,paid,2026-07-14 20:09:43.408541,2026-07-08 20:09:43.408541,0,,,2026-06-22 20:09:43.408541
UNSEEN_INV_000041,UNSEEN_CUST_00041,50908.61,paid,2026-06-07 20:09:43.409543,2026-06-07 20:09:43.409543,0,,,2026-05-09 20:09:43.409543
UNSEEN_INV_000042,UNSEEN_CUST_00042,58240.58,paid,2026-07-17 20:09:43.409543,2026-07-11 20:09:43.409543,0,,,2026-06-17 20:09:43.409543
UNSEEN_INV_000043,UNSEEN_CUST_00043,36090.76,paid,2026-07-20 20:09:43.409543,2026-07-14 20:09:43.409543,0,,,2026-07-05 20:09:43.409543
UNSEEN_INV_000044,UNSEEN_CUST_00044,42236.96,paid,2026-08-15 20:09:43.409543,2026-08-12 20:09:43.409543,0,,,2026-07-18 20:09:43.409543
UNSEEN_INV_000045,UNSEEN_CUST_00045,69139.53,overdue,2026-04-15 20:09:43.409543,,13,NETWORK_TIMEOUT,timeout,2026-04-01 20:09:43.409543
UNSEEN_INV_000046,UNSEEN_CUST_00046,59982.61,paid,2026-08-30 20:09:43.409543,2026-08-28 20:09:43.409543,0,,,2026-08-13 20:09:43.409543
UNSEEN_INV_000047,UNSEEN_CUST_00047,2568.89,paid,2026-04-05 20:09:43.409543,2026-04-02 20:09:43.409543,0,,,2026-03-08 20:09:43.409543
UNSEEN_INV_000048,UNSEEN_CUST_00048,54941.91,paid,2026-07-29 20:09:43.410540,2026-07-28 20:09:43.410540,0,,,2026-07-12 20:09:43.410540
UNSEEN_INV_000049,UNSEEN_CUST_00049,23092.48,overdue,2026-09-06 20:09:43.410540,,47,INSTRUMENT_EXPIRED,expired_instrument,2026-08-14 20:09:43.410540
UNSEEN_INV_000050,UNSEEN_CUST_00050,40361.99,cancelled,2026-07-14 20:09:43.410540,,0,,,2026-06-20 20:09:43.410540
UNSEEN_INV_000051,UNSEEN_CUST_00051,115204.07,paid,2026-05-11 20:09:43.410540,2026-05-07 20:09:43.410540,0,,,2026-04-24 20:09:43.410540
UNSEEN_INV_000052,UNSEEN_CUST_00052,32044.58,cancelled,2026-08-08 20:09:43.410540,,0,,,2026-07-11 20:09:43.410540
UNSEEN_INV_000053,UNSEEN_CUST_00053,118400.59,paid,2026-04-23 20:09:43.410540,2026-04-19 20:09:43.410540,0,,,2026-03-30 20:09:43.410540
UNSEEN_INV_000054,UNSEEN_CUST_00054,10702.8,paid,2026-04-29 20:09:43.410540,2026-04-23 20:09:43.410540,0,,,2026-03-31 20:09:43.410540
UNSEEN_INV_000055,UNSEEN_CUST_00055,31314.1,paid,2026-09-09 20:09:43.411540,2026-09-06 20:09:43.411540,0,,,2026-08-17 20:09:43.411540
UNSEEN_INV_000056,UNSEEN_CUST_00056,15931.7,paid,2026-05-07 20:09:43.411540,2026-05-06 20:09:43.411540,0,,,2026-04-10 20:09:43.411540
UNSEEN_INV_000057,UNSEEN_CUST_00057,15310.57,paid,2026-06-22 20:09:43.411540,2026-06-21 20:09:43.411540,0,,,2026-05-28 20:09:43.411540
UNSEEN_INV_000058,UNSEEN_CUST_00058,56617.14,paid,2026-06-09 20:09:43.411540,2026-06-09 20:09:43.411540,0,,,2026-05-11 20:09:43.411540
UNSEEN_INV_000059,UNSEEN_CUST_00059,136058.67,cancelled,2026-08-13 20:09:43.411540,,0,,,2026-07-21 20:09:43.411540
UNSEEN_INV_000060,UNSEEN_CUST_00060,42058.65,overdue,2026-08-25 20:09:43.411540,,4,UNSPECIFIED_DECLINE,unknown_failure,2026-08-06 20:09:43.411540
UNSEEN_INV_000061,UNSEEN_CUST_00061,34593.96,overdue,2026-08-12 20:09:43.412540,,35,CARD_EXPIRED,expired_instrument,2026-07-26 20:09:43.412540
UNSEEN_INV_000062,UNSEEN_CUST_00062,44072.23,paid,2026-09-08 20:09:43.412540,2026-09-06 20:09:43.412540,0,,,2026-08-26 20:09:43.412540
UNSEEN_INV_000063,UNSEEN_CUST_00063,18786.31,cancelled,2026-06-30 20:09:43.412540,,0,,,2026-06-12 20:09:43.412540
UNSEEN_INV_000064,UNSEEN_CUST_00064,10729.28,paid,2026-05-02 20:09:43.412540,2026-04-29 20:09:43.412540,0,,,2026-04-16 20:09:43.412540
UNSEEN_INV_000065,UNSEEN_CUST_00065,50342.04,paid,2026-05-08 20:09:43.412540,2026-05-05 20:09:43.412540,0,,,2026-04-25 20:09:43.412540
UNSEEN_INV_000066,UNSEEN_CUST_00066,40975.59,paid,2026-06-23 20:09:43.412540,2026-06-17 20:09:43.412540,0,,,2026-06-08 20:09:43.412540
UNSEEN_INV_000067,UNSEEN_CUST_00067,4111.63,overdue,2026-04-18 20:09:43.412540,,16,BANK_TEMPORARY_ERROR,temporary_bank_failure,2026-03-31 20:09:43.412540
UNSEEN_INV_000068,UNSEEN_CUST_00068,20973.8,paid,2026-05-16 20:09:43.413545,2026-05-12 20:09:43.413545,0,,,2026-05-04 20:09:43.413545
UNSEEN_INV_000069,UNSEEN_CUST_00069,44258.67,paid,2026-05-17 20:09:43.413545,2026-05-15 20:09:43.413545,0,,,2026-05-08 20:09:43.413545
UNSEEN_INV_000070,UNSEEN_CUST_00070,21217.52,overdue,2026-07-30 20:09:43.413545,,26,BANK_SERVICE_UNAVAILABLE,temporary_bank_failure,2026-07-22 20:09:43.413545
UNSEEN_INV_000071,UNSEEN_CUST_00071,29081.46,overdue,2026-05-09 20:09:43.413545,,49,UNSPECIFIED_DECLINE,unknown_failure,2026-04-24 20:09:43.413545
UNSEEN_INV_000072,UNSEEN_CUST_00072,63656.79,paid,2026-05-23 20:09:43.413545,2026-05-22 20:09:43.413545,0,,,2026-05-15 20:09:43.413545
UNSEEN_INV_000073,UNSEEN_CUST_00073,138788.13,paid,2026-05-14 20:09:43.413545,2026-05-11 20:09:43.413545,0,,,2026-04-15 20:09:43.413545
UNSEEN_INV_000074,UNSEEN_CUST_00074,25114.9,overdue,2026-07-08 20:09:43.414540,,69,UNSPECIFIED_DECLINE,insufficient_funds,2026-06-27 20:09:43.414540
UNSEEN_INV_000075,UNSEEN_CUST_00075,5475.14,overdue,2026-04-22 20:09:43.414540,,49,NETWORK_TIMEOUT,timeout,2026-03-31 20:09:43.414540
UNSEEN_INV_000076,UNSEEN_CUST_00076,23944.61,paid,2026-09-05 20:09:43.414540,2026-08-30 20:09:43.414540,0,,,2026-08-14 20:09:43.414540
UNSEEN_INV_000077,UNSEEN_CUST_00077,38411.49,paid,2026-05-03 20:09:43.414540,2026-05-01 20:09:43.414540,0,,,2026-04-16 20:09:43.414540
UNSEEN_INV_000078,UNSEEN_CUST_00078,6677.48,cancelled,2026-08-13 20:09:43.414540,,0,,,2026-07-20 20:09:43.414540
UNSEEN_INV_000079,UNSEEN_CUST_00079,74998.29,paid,2026-07-14 20:09:43.414540,2026-07-11 20:09:43.414540,0,,,2026-06-14 20:09:43.414540
UNSEEN_INV_000080,UNSEEN_CUST_00080,122474.33,overdue,2026-07-16 20:09:43.415545,,81,TRANSACTION_LIMIT_EXCEEDED,limit_exceeded,2026-06-17 20:09:43.415545
UNSEEN_INV_000081,UNSEEN_CUST_00081,14617.93,paid,2026-07-01 20:09:43.415545,2026-06-27 20:09:43.415545,0,,,2026-06-15 20:09:43.415545
UNSEEN_INV_000082,UNSEEN_CUST_00082,141891.35,paid,2026-08-27 20:09:43.415545,2026-08-27 20:09:43.415545,0,,,2026-07-31 20:09:43.415545
UNSEEN_INV_000083,UNSEEN_CUST_00083,55903.6,paid,2026-05-04 20:09:43.415545,2026-05-01 20:09:43.415545,0,,,2026-04-20 20:09:43.415545
UNSEEN_INV_000084,UNSEEN_CUST_00084,47826.65,overdue,2026-03-28 20:09:43.415545,,49,,temporary_bank_failure,2026-03-06 20:09:43.415545
UNSEEN_INV_000085,UNSEEN_CUST_00085,27594.93,paid,2026-05-21 20:09:43.415545,2026-05-21 20:09:43.415545,0,,,2026-04-27 20:09:43.415545
UNSEEN_INV_000086,UNSEEN_CUST_00086,23826.91,paid,2026-07-11 20:09:43.415545,2026-07-09 20:09:43.415545,0,,,2026-07-01 20:09:43.415545
UNSEEN_INV_000087,UNSEEN_CUST_00087,67246.71,paid,2026-04-14 20:09:43.416540,2026-04-12 20:09:43.416540,0,,,2026-04-02 20:09:43.416540
UNSEEN_INV_000088,UNSEEN_CUST_00088,49638.7,paid,2026-03-22 20:09:43.416540,2026-03-22 20:09:43.416540,0,,,2026-03-08 20:09:43.416540
UNSEEN_INV_000089,UNSEEN_CUST_00089,44338.75,paid,2026-08-09 20:09:43.416540,2026-08-09 20:09:43.416540,0,,,2026-07-19 20:09:43.416540
UNSEEN_INV_000090,UNSEEN_CUST_00090,31652.92,paid,2026-06-26 20:09:43.416540,2026-06-23 20:09:43.416540,0,,,2026-06-08 20:09:43.416540
UNSEEN_INV_000091,UNSEEN_CUST_00091,21428.36,paid,2026-06-08 20:09:43.416540,2026-06-07 20:09:43.416540,0,,,2026-05-22 20:09:43.416540
UNSEEN_INV_000092,UNSEEN_CUST_00092,15693.57,paid,2026-06-06 20:09:43.416540,2026-05-31 20:09:43.416540,0,,,2026-05-21 20:09:43.416540
UNSEEN_INV_000093,UNSEEN_CUST_00093,59173.52,cancelled,2026-06-06 20:09:43.416540,,0,,,2026-05-13 20:09:43.416540
UNSEEN_INV_000094,UNSEEN_CUST_00094,70152.5,paid,2026-05-28 20:09:43.417539,2026-05-24 20:09:43.417539,0,,,2026-04-30 20:09:43.417539
UNSEEN_INV_000095,UNSEEN_CUST_00095,12178.52,paid,2026-07-16 20:09:43.417539,2026-07-11 20:09:43.417539,0,,,2026-06-28 20:09:43.417539
UNSEEN_INV_000096,UNSEEN_CUST_00096,51523.03,paid,2026-04-14 20:09:43.417539,2026-04-09 20:09:43.417539,0,,,2026-04-03 20:09:43.417539
UNSEEN_INV_000097,UNSEEN_CUST_00097,58380.66,overdue,2026-03-22 20:09:43.417539,,60,BANK_TEMPORARY_ERROR,temporary_bank_failure,2026-03-09 20:09:43.417539
UNSEEN_INV_000098,UNSEEN_CUST_00098,78037.14,paid,2026-06-26 20:09:43.417539,2026-06-21 20:09:43.417539,0,,,2026-05-28 20:09:43.417539
UNSEEN_INV_000099,UNSEEN_CUST_00099,147552.66,paid,2026-04-30 20:09:43.417539,2026-04-26 20:09:43.417539,0,,,2026-04-10 20:09:43.417539
UNSEEN_INV_000100,UNSEEN_CUST_00100,24377.03,overdue,2026-08-15 20:09:43.418539,,46,POLICY_DECLINED,risk_decline,2026-07-24 20:09:43.418539
UNSEEN_INV_000101,UNSEEN_CUST_00101,56183.55,paid,2026-04-07 20:09:43.418539,2026-04-04 20:09:43.418539,0,,,2026-03-09 20:09:43.418539
UNSEEN_INV_000102,UNSEEN_CUST_00102,63267.53,paid,2026-08-02 20:09:43.418539,2026-08-02 20:09:43.418539,0,,,2026-07-22 20:09:43.418539
UNSEEN_INV_000103,UNSEEN_CUST_00103,75256.65,overdue,2026-08-27 20:09:43.418539,,61,FUNDS_NOT_AVAILABLE,insufficient_funds,2026-08-08 20:09:43.418539
UNSEEN_INV_000104,UNSEEN_CUST_00104,31395.07,overdue,2026-07-11 20:09:43.418539,,77,UNSPECIFIED_DECLINE,authentication_failed,2026-06-14 20:09:43.418539
UNSEEN_INV_000105,UNSEEN_CUST_00105,16145.66,paid,2026-06-29 20:09:43.418539,2026-06-27 20:09:43.418539,0,,,2026-06-19 20:09:43.418539
UNSEEN_INV_000106,UNSEEN_CUST_00106,19074.27,paid,2026-06-26 20:09:43.419541,2026-06-23 20:09:43.419541,0,,,2026-06-07 20:09:43.419541
UNSEEN_INV_000107,UNSEEN_CUST_00107,17869.76,paid,2026-05-17 20:09:43.419541,2026-05-16 20:09:43.419541,0,,,2026-05-09 20:09:43.419541
UNSEEN_INV_000108,UNSEEN_CUST_00108,63308.67,paid,2026-04-09 20:09:43.419541,2026-04-04 20:09:43.419541,0,,,2026-03-26 20:09:43.419541
UNSEEN_INV_000109,UNSEEN_CUST_00109,10339.49,paid,2026-03-20 20:09:43.419541,2026-03-19 20:09:43.419541,0,,,2026-03-10 20:09:43.419541
UNSEEN_INV_000110,UNSEEN_CUST_00110,16945.89,paid,2026-05-28 20:09:43.419541,2026-05-25 20:09:43.419541,0,,,2026-05-15 20:09:43.419541
UNSEEN_INV_000111,UNSEEN_CUST_00111,93557.14,paid,2026-04-11 20:09:43.420541,2026-04-11 20:09:43.420541,0,,,2026-03-20 20:09:43.420541
UNSEEN_INV_000112,UNSEEN_CUST_00112,1330.02,overdue,2026-09-20 20:09:43.420541,,22,BANK_SERVICE_UNAVAILABLE,temporary_bank_failure,2026-08-24 20:09:43.420541
UNSEEN_INV_000113,UNSEEN_CUST_00113,45123.32,paid,2026-03-20 20:09:43.420541,2026-03-14 20:09:43.420541,0,,,2026-03-07 20:09:43.420541
UNSEEN_INV_000114,UNSEEN_CUST_00114,30936.64,overdue,2026-06-26 20:09:43.420541,,22,BANK_SERVICE_UNAVAILABLE,temporary_bank_failure,2026-05-29 20:09:43.420541
UNSEEN_INV_000115,UNSEEN_CUST_00115,87029.81,paid,2026-03-19 20:09:43.420541,2026-03-17 20:09:43.420541,0,,,2026-03-05 20:09:43.420541
UNSEEN_INV_000116,UNSEEN_CUST_00116,41180.43,paid,2026-07-23 20:09:43.420541,2026-07-18 20:09:43.420541,0,,,2026-06-24 20:09:43.420541
UNSEEN_INV_000117,UNSEEN_CUST_00117,52501.96,paid,2026-05-24 20:09:43.421539,2026-05-24 20:09:43.421539,0,,,2026-05-04 20:09:43.421539
UNSEEN_INV_000118,UNSEEN_CUST_00118,8770.75,overdue,2026-07-14 20:09:43.421539,,55,FUNDS_NOT_AVAILABLE,insufficient_funds,2026-06-30 20:09:43.421539
UNSEEN_INV_000119,UNSEEN_CUST_00119,18529.28,cancelled,2026-04-29 20:09:43.421539,,0,,,2026-04-06 20:09:43.421539
UNSEEN_INV_000120,UNSEEN_CUST_00120,38777.24,cancelled,2026-07-20 20:09:43.421539,,0,,,2026-07-03 20:09:43.421539
UNSEEN_INV_000121,UNSEEN_CUST_00121,40545.26,overdue,2026-06-06 20:09:43.421539,,70,FUNDS_NOT_AVAILABLE,insufficient_funds,2026-05-23 20:09:43.421539
UNSEEN_INV_000122,UNSEEN_CUST_00122,18137.76,overdue,2026-08-18 20:09:43.421539,,15,POLICY_DECLINED,risk_decline,2026-07-19 20:09:43.421539
UNSEEN_INV_000123,UNSEEN_CUST_00123,57756.12,paid,2026-06-02 20:09:43.421539,2026-05-28 20:09:43.421539,0,,,2026-05-24 20:09:43.421539
UNSEEN_INV_000124,UNSEEN_CUST_00124,6259.28,paid,2026-06-14 20:09:43.422540,2026-06-10 20:09:43.422540,0,,,2026-05-25 20:09:43.422540
UNSEEN_INV_000125,UNSEEN_CUST_00125,10441.38,paid,2026-05-12 20:09:43.422540,2026-05-10 20:09:43.422540,0,,,2026-04-16 20:09:43.422540
UNSEEN_INV_000126,UNSEEN_CUST_00126,5190.7,paid,2026-08-07 20:09:43.422540,2026-08-01 20:09:43.422540,0,,,2026-07-28 20:09:43.422540
UNSEEN_INV_000127,UNSEEN_CUST_00127,54562.67,paid,2026-07-28 20:09:43.422540,2026-07-22 20:09:43.422540,0,,,2026-07-01 20:09:43.422540
UNSEEN_INV_000128,UNSEEN_CUST_00128,66558.61,overdue,2026-05-17 20:09:43.423548,,25,CUSTOMER_AUTH_FAILED,authentication_failed,2026-04-22 20:09:43.423548
UNSEEN_INV_000129,UNSEEN_CUST_00129,47098.78,paid,2026-09-09 20:09:43.423548,2026-09-06 20:09:43.423548,0,,,2026-08-14 20:09:43.423548
UNSEEN_INV_000130,UNSEEN_CUST_00130,8818.48,paid,2026-07-23 20:09:43.423548,2026-07-17 20:09:43.423548,0,,,2026-07-05 20:09:43.423548
UNSEEN_INV_000131,UNSEEN_CUST_00131,16087.24,overdue,2026-03-29 20:09:43.423548,,71,BANK_SERVICE_UNAVAILABLE,temporary_bank_failure,2026-03-22 20:09:43.423548
UNSEEN_INV_000132,UNSEEN_CUST_00132,12385.33,paid,2026-07-15 20:09:43.423548,2026-07-13 20:09:43.423548,0,,,2026-06-22 20:09:43.423548
UNSEEN_INV_000133,UNSEEN_CUST_00133,111100.58,paid,2026-03-28 20:09:43.424571,2026-03-22 20:09:43.424571,0,,,2026-03-02 20:09:43.424571
UNSEEN_INV_000134,UNSEEN_CUST_00134,32225.94,paid,2026-06-05 20:09:43.424571,2026-05-30 20:09:43.424571,0,,,2026-05-27 20:09:43.424571
UNSEEN_INV_000135,UNSEEN_CUST_00135,14265.73,paid,2026-04-17 20:09:43.424571,2026-04-16 20:09:43.424571,0,,,2026-04-01 20:09:43.424571
UNSEEN_INV_000136,UNSEEN_CUST_00136,26641.71,paid,2026-04-29 20:09:43.424571,2026-04-23 20:09:43.424571,0,,,2026-04-01 20:09:43.424571
UNSEEN_INV_000137,UNSEEN_CUST_00137,14511.24,paid,2026-08-23 20:09:43.424571,2026-08-20 20:09:43.424571,0,,,2026-07-29 20:09:43.424571
UNSEEN_INV_000138,UNSEEN_CUST_00138,11460.7,paid,2026-06-21 20:09:43.424571,2026-06-18 20:09:43.424571,0,,,2026-06-14 20:09:43.424571
UNSEEN_INV_000139,UNSEEN_CUST_00139,14042.21,paid,2026-04-16 20:09:43.424571,2026-04-11 20:09:43.424571,0,,,2026-03-19 20:09:43.424571
UNSEEN_INV_000140,UNSEEN_CUST_00140,62316.99,overdue,2026-08-03 20:09:43.425543,,55,FUNDS_NOT_AVAILABLE,insufficient_funds,2026-07-17 20:09:43.425543
UNSEEN_INV_000141,UNSEEN_CUST_00141,62808.19,paid,2026-07-22 20:09:43.425543,2026-07-18 20:09:43.425543,0,,,2026-07-01 20:09:43.425543
UNSEEN_INV_000142,UNSEEN_CUST_00142,92202.97,paid,2026-08-31 20:09:43.425543,2026-08-30 20:09:43.425543,0,,,2026-08-21 20:09:43.425543
UNSEEN_INV_000143,UNSEEN_CUST_00143,37561.74,paid,2026-05-11 20:09:43.425543,2026-05-08 20:09:43.425543,0,,,2026-04-26 20:09:43.425543
UNSEEN_INV_000144,UNSEEN_CUST_00144,17728.92,paid,2026-05-09 20:09:43.425543,2026-05-07 20:09:43.425543,0,,,2026-04-24 20:09:43.425543
UNSEEN_INV_000145,UNSEEN_CUST_00145,9010.51,paid,2026-09-12 20:09:43.425543,2026-09-09 20:09:43.425543,0,,,2026-08-26 20:09:43.425543
UNSEEN_INV_000146,UNSEEN_CUST_00146,27349.43,paid,2026-06-08 20:09:43.426541,2026-06-02 20:09:43.426541,0,,,2026-05-17 20:09:43.426541
UNSEEN_INV_000147,UNSEEN_CUST_00147,82589.94,cancelled,2026-06-21 20:09:43.426541,,0,,,2026-05-25 20:09:43.426541
UNSEEN_INV_000148,UNSEEN_CUST_00148,25729.13,paid,2026-06-23 20:09:43.426541,2026-06-22 20:09:43.426541,0,,,2026-06-01 20:09:43.426541
UNSEEN_INV_000149,UNSEEN_CUST_00149,40655.81,cancelled,2026-06-08 20:09:43.426541,,0,,,2026-05-23 20:09:43.426541
UNSEEN_INV_000150,UNSEEN_CUST_00150,43300.34,paid,2026-07-29 20:09:43.426541,2026-07-26 20:09:43.426541,0,,,2026-07-08 20:09:43.426541
UNSEEN_INV_000151,UNSEEN_CUST_00151,70173.75,paid,2026-05-20 20:09:43.426541,2026-05-19 20:09:43.426541,0,,,2026-05-06 20:09:43.426541
UNSEEN_INV_000152,UNSEEN_CUST_00152,37857.56,paid,2026-08-16 20:09:43.426541,2026-08-10 20:09:43.426541,0,,,2026-07-31 20:09:43.426541
UNSEEN_INV_000153,UNSEEN_CUST_00153,93523.14,paid,2026-08-03 20:09:43.426541,2026-07-28 20:09:43.426541,0,,,2026-07-09 20:09:43.426541
UNSEEN_INV_000154,UNSEEN_CUST_00154,50118.98,paid,2026-06-28 20:09:43.427545,2026-06-25 20:09:43.427545,0,,,2026-06-01 20:09:43.427545
UNSEEN_INV_000155,UNSEEN_CUST_00155,20298.8,paid,2026-07-11 20:09:43.427545,2026-07-09 20:09:43.427545,0,,,2026-07-03 20:09:43.427545
UNSEEN_INV_000156,UNSEEN_CUST_00156,24922.51,overdue,2026-07-21 20:09:43.427545,,69,UNKNOWN_ERROR,unknown_failure,2026-06-24 20:09:43.427545
UNSEEN_INV_000157,UNSEEN_CUST_00157,50638.49,cancelled,2026-05-30 20:09:43.427545,,0,,,2026-05-04 20:09:43.427545
UNSEEN_INV_000158,UNSEEN_CUST_00158,45678.04,paid,2026-05-16 20:09:43.427545,2026-05-13 20:09:43.427545,0,,,2026-04-30 20:09:43.427545
UNSEEN_INV_000159,UNSEEN_CUST_00159,9867.54,paid,2026-06-11 20:09:43.427545,2026-06-07 20:09:43.427545,0,,,2026-05-28 20:09:43.427545
