case_id,customer_id,customer_segment,communication_opt_in,failure_category,recovery_amount,final_action,decision_reason,guardrail_status,recovery_probability,expected_recovery,action_cost,erv
CASE_000016,CUST_00618,regular,1,unknown_failure,27718.35,escalate,Case routed to manual review.,passed,0.509921630090277,14134.18621541283,25.0,14109.18621541283
CASE_000017,CUST_00856,regular,0,unknown_failure,9395.95,escalate,Case routed to manual review.,passed,0.5469211435806507,5138.843719026615,25.0,5113.843719026615
CASE_000018,CUST_01884,regular,0,unknown_failure,19908.85,escalate,Case routed to manual review.,passed,0.5065915148951994,10085.65448132129,25.0,10060.65448132129
CASE_000019,CUST_01682,new,1,insufficient_funds,4684.36,reminder,Action passed all guardrails.,passed,0.50557182094145,2368.2804151452906,5.0,2363.2804151452906
CASE_000020,CUST_01943,regular,1,blocked_instrument,31815.77,reminder,Action passed all guardrails.,passed,0.4117421954408975,13099.894989442644,5.0,13094.894989442644
CASE_000021,CUST_00899,regular,1,timeout,8465.23,escalate,Case routed to manual review.,passed,0.7277127885775325,6160.256129250185,25.0,6135.256129250185
CASE_000022,CUST_00257,new,1,temporary_bank_failure,13338.08,retry,Action passed all guardrails.,passed,0.78132108970112,10421.323200120714,2.0,10419.323200120714
CASE_000023,CUST_00685,regular,1,timeout,12992.05,retry,Action passed all guardrails.,passed,0.7267432947683937,9441.885222795709,2.0,9439.885222795709
CASE_000024,CUST_00721,high_value,1,unknown_failure,6881.27,reminder,Action passed all guardrails.,passed,0.5750601938019303,3957.144459803409,5.0,3952.144459803409
CASE_000025,CUST_01775,new,1,insufficient_funds,17812.74,reminder,Action passed all guardrails.,passed,0.5488411902552149,9776.36542330668,5.0,9771.36542330668
CASE_000026,CUST_00516,new,1,authentication_failed,7586.59,reminder,Action passed all guardrails.,passed,0.4625199192432514,3508.9489941316588,5.0,3503.9489941316588
CASE_000027,CUST_01995,high_value,1,unknown_failure,38704.19,reminder,Action passed all guardrails.,passed,0.5582255558958417,21605.66797824828,5.0,21600.66797824828
CASE_000028,CUST_01525,regular,1,insufficient_funds,49243.32,reminder,Action passed all guardrails.,passed,0.5524673232224949,27205.32518698875,5.0,27200.32518698875
CASE_000029,CUST_01370,regular,1,insufficient_funds,8920.39,reminder,Action passed all guardrails.,passed,0.5950321529921846,5307.918867229953,5.0,5302.918867229953
CASE_000030,CUST_00748,regular,0,insufficient_funds,37604.95,escalate,Case routed to manual review.,passed,0.4942502233958469,18586.25493828965,25.0,18561.25493828965
CASE_000031,CUST_01494,regular,1,temporary_bank_failure,40773.77,retry,Action passed all guardrails.,passed,0.7560407948615268,30826.633480301072,2.0,30824.633480301072
CASE_000032,CUST_01955,regular,1,unknown_failure,14019.67,reminder,Action passed all guardrails.,passed,0.5148981883931227,7218.702684869411,5.0,7213.702684869411
CASE_000033,CUST_01446,new,1,insufficient_funds,13155.67,reminder,Action passed all guardrails.,passed,0.5768659613105102,7589.058221233839,5.0,7584.058221233839
CASE_000034,CUST_00790,regular,0,blocked_instrument,14162.24,escalate,Case routed to manual review.,passed,0.466460253096754,6606.122054816974,25.0,6581.122054816974
CASE_000035,CUST_00935,regular,1,risk_decline,35404.43,reminder,Action passed all guardrails.,passed,0.1490941769618203,5278.594351652381,5.0,5273.594351652381
CASE_000036,CUST_00726,regular,1,insufficient_funds,5234.47,reminder,Action passed all guardrails.,passed,0.6224952548785684,3258.43273680422,5.0,3253.43273680422
CASE_000037,CUST_01616,regular,1,insufficient_funds,41435.35,reminder,Action passed all guardrails.,passed,0.580813967228179,24066.230016988127,5.0,24061.230016988127
CASE_000038,CUST_01497,regular,1,authentication_failed,17857.47,reminder,Action passed all guardrails.,passed,0.5696932495161022,10173.28011243631,5.0,10168.28011243631
CASE_000039,CUST_00927,new,1,insufficient_funds,2795.31,reminder,Action passed all guardrails.,passed,0.6729197164888644,1881.0192126984875,5.0,1876.0192126984875
CASE_000040,CUST_01973,new,1,insufficient_funds,16512.68,reminder,Action passed all guardrails.,passed,0.6673297468267537,11019.4025638312,5.0,11014.4025638312
CASE_000041,CUST_00275,regular,1,timeout,24066.75,retry,Action passed all guardrails.,passed,0.7295737890917467,17558.469988623798,2.0,17556.469988623798
CASE_000042,CUST_00665,regular,1,unknown_failure,33671.45,reminder,Action passed all guardrails.,passed,0.481908364453629,16226.553398282143,5.0,16221.553398282143
CASE_000043,CUST_01604,new,1,limit_exceeded,12026.69,reminder,Action passed all guardrails.,passed,0.5351862185239472,6436.518742459771,5.0,6431.518742459771
CASE_000044,CUST_01094,regular,1,limit_exceeded,16785.24,reminder,Action passed all guardrails.,passed,0.4440878406913759,7454.120987086512,5.0,7449.120987086512
CASE_000045,CUST_00124,high_value,1,insufficient_funds,14899.58,reminder,Action passed all guardrails.,passed,0.650884193389789,9697.901110146631,5.0,9692.901110146631
CASE_000046,CUST_01196,regular,1,temporary_bank_failure,39690.25,retry,Action passed all guardrails.,passed,0.7952391870680463,31563.242144527525,2.0,31561.242144527525
CASE_000047,CUST_01064,regular,1,timeout,6902.33,escalate,Case routed to manual review.,passed,0.7249849564824447,5004.085414677472,25.0,4979.085414677472
CASE_000048,CUST_01297,regular,1,insufficient_funds,18447.18,reminder,Action passed all guardrails.,passed,0.5792102920470791,10684.796515245036,5.0,10679.796515245036
CASE_000049,CUST_00394,regular,1,temporary_bank_failure,30067.05,retry,Action passed all guardrails.,passed,0.8462397693042156,25443.93345565832,2.0,25441.93345565832
CASE_000050,CUST_01604,new,1,insufficient_funds,14220.9,reminder,Action passed all guardrails.,passed,0.5897179197167357,8386.319564499727,5.0,8381.319564499727
CASE_000051,CUST_01044,regular,1,timeout,16695.03,retry,Action passed all guardrails.,passed,0.74098122959567,12370.7038575366,2.0,12368.7038575366
CASE_000052,CUST_00184,regular,1,unknown_failure,42955.24,escalate,Case routed to manual review.,passed,0.5165375546972778,22187.994631034693,25.0,22162.994631034693
CASE_000053,CUST_01852,regular,1,insufficient_funds,47520.88,reminder,Action passed all guardrails.,passed,0.6475605277730472,30772.64613303964,5.0,30767.64613303964
CASE_000054,CUST_00435,regular,1,temporary_bank_failure,5481.62,retry,Action passed all guardrails.,passed,0.7641344302297136,4188.694575435803,2.0,4186.694575435803
CASE_000055,CUST_00067,regular,1,insufficient_funds,33687.49,reminder,Action passed all guardrails.,passed,0.5619743928638521,18931.506739857086,5.0,18926.506739857086
CASE_000056,CUST_00009,new,1,blocked_instrument,8672.46,reminder,Action passed all guardrails.,passed,0.3868757767854638,3355.164699140864,5.0,3350.164699140864
CASE_000057,CUST_01859,regular,1,risk_decline,24457.64,reminder,Action passed all guardrails.,passed,0.4029918985821075,9856.230778437695,5.0,9851.230778437695
CASE_000058,CUST_01136,regular,1,risk_decline,46323.85,reminder,Action passed all guardrails.,passed,0.191944123526231,8891.590786610597,5.0,8886.590786610597
CASE_000059,CUST_00280,high_value,1,temporary_bank_failure,91833.35,retry,High-value case permitted for controlled recovery.,passed,0.8232278491085231,75599.77119693019,2.0,75597.77119693019
CASE_000060,CUST_01358,regular,1,insufficient_funds,34166.7,reminder,Action passed all guardrails.,passed,0.5862316860500242,20029.60214776536,5.0,20024.60214776536
CASE_000061,CUST_00830,new,1,risk_decline,19293.13,reminder,Action passed all guardrails.,passed,0.1729221376966702,3336.2092824597603,5.0,3331.2092824597603
CASE_000062,CUST_00953,regular,1,temporary_bank_failure,38867.89,retry,Action passed all guardrails.,passed,0.8072487868860457,31376.05705132027,2.0,31374.05705132027
CASE_000063,CUST_00151,regular,1,risk_decline,33989.35,reminder,Action passed all guardrails.,passed,0.174173651065731,5920.049186851005,5.0,5915.049186851005
CASE_000064,CUST_01831,new,1,risk_decline,14719.8,reminder,Action passed all guardrails.,passed,0.297327136258769,4376.595980301829,5.0,4371.595980301829
CASE_000065,CUST_00325,regular,1,timeout,48965.38,retry,Action passed all guardrails.,passed,0.665098388824947,32566.79534620128,2.0,32564.79534620128
CASE_000066,CUST_00627,regular,1,expired_instrument,38523.6,reminder,Action passed all guardrails.,passed,0.5400689896159298,20805.40172836823,5.0,20800.40172836823
CASE_000067,CUST_00280,high_value,1,authentication_failed,19461.02,reminder,Action passed all guardrails.,passed,0.5910271512445078,11501.99121091239,5.0,11496.99121091239
CASE_000068,CUST_00965,new,0,temporary_bank_failure,15711.46,retry,Action passed all guardrails.,passed,0.6792941999235103,10672.703650330232,2.0,10670.703650330232
CASE_000069,CUST_01347,high_value,1,risk_decline,72971.05,reminder,High-value case permitted for controlled recovery.,passed,0.2024319427750307,14771.67141783391,5.0,14766.67141783391
CASE_000070,CUST_01735,new,1,expired_instrument,18526.95,reminder,Action passed all guardrails.,passed,0.5646725097717694,10461.659354916084,5.0,10456.659354916084
CASE_000071,CUST_01541,new,1,risk_decline,2067.05,reminder,Action passed all guardrails.,passed,0.1333958167187716,275.73582294853685,5.0,270.73582294853685
CASE_000072,CUST_01870,regular,1,expired_instrument,36302.18,reminder,Action passed all guardrails.,passed,0.6049737434893144,21961.86573142292,5.0,21956.86573142292
CASE_000073,CUST_01268,high_value,1,timeout,84914.28,escalate,Case routed to manual review.,passed,0.7330151126618378,62243.45052079884,25.0,62218.45052079884
CASE_000074,CUST_01012,high_value,1,authentication_failed,45105.94,escalate,Case routed to manual review.,passed,0.5175479714352214,23344.48774667881,25.0,23319.48774667881
CASE_000075,CUST_01659,high_value,1,expired_instrument,39268.71,reminder,Action passed all guardrails.,passed,0.5667972126267753,22257.395371449176,5.0,22252.395371449176
CASE_000076,CUST_00858,regular,1,authentication_failed,5711.61,reminder,Action passed all guardrails.,passed,0.5952406406991997,3399.7823958239555,5.0,3394.7823958239555
CASE_000077,CUST_00241,new,1,timeout,13017.55,retry,Action passed all guardrails.,passed,0.6366696468242538,8287.878961017064,2.0,8285.878961017064
CASE_000078,CUST_01837,regular,1,timeout,49995.32,retry,Action passed all guardrails.,passed,0.6537869441906018,32686.28748663128,2.0,32684.28748663128
CASE_000079,CUST_00269,regular,1,unknown_failure,26460.05,reminder,Action passed all guardrails.,passed,0.5420076588936282,14341.549754708349,5.0,14336.549754708349
CASE_000080,CUST_00209,regular,1,insufficient_funds,10485.72,reminder,Action passed all guardrails.,passed,0.625058249731256,6554.185790372026,5.0,6549.185790372026
CASE_000081,CUST_00454,high_value,1,unknown_failure,95885.6,reminder,High-value case permitted for controlled recovery.,passed,0.5860306203016471,56191.89764599562,5.0,56186.89764599562
CASE_000082,CUST_01144,new,1,blocked_instrument,13322.33,escalate,Case routed to manual review.,passed,0.3598713880288954,4794.325388878995,25.0,4769.325388878995
CASE_000083,CUST_00691,high_value,1,authentication_failed,49033.25,reminder,Action passed all guardrails.,passed,0.5603281074620632,27474.70817521421,5.0,27469.70817521421
CASE_000084,CUST_00825,high_value,1,insufficient_funds,83014.83,reminder,High-value case permitted for controlled recovery.,passed,0.6371450065709323,52892.48440583483,5.0,52887.48440583483
CASE_000085,CUST_00893,regular,1,blocked_instrument,9783.88,escalate,Case routed to manual review.,passed,0.5718548967500285,5594.9596872146685,25.0,5569.9596872146685
CASE_000086,CUST_01289,high_value,1,unknown_failure,15109.11,reminder,Action passed all guardrails.,passed,0.5257902439859417,7944.222633310431,5.0,7939.222633310431
CASE_000087,CUST_00410,regular,1,authentication_failed,23354.13,reminder,Action passed all guardrails.,passed,0.5613409780722795,13109.630176227163,5.0,13104.630176227163
CASE_000088,CUST_01824,regular,1,blocked_instrument,28124.01,escalate,Case routed to manual review.,passed,0.5100301431224106,14344.092845476103,25.0,14319.092845476103
CASE_000089,CUST_00150,regular,1,risk_decline,32652.07,reminder,Action passed all guardrails.,passed,0.2459923143890429,8032.158268893038,5.0,8027.158268893038
CASE_000090,CUST_01144,new,1,insufficient_funds,15603.33,reminder,Action passed all guardrails.,passed,0.5993443101598267,9351.767055046128,5.0,9346.767055046128
CASE_000091,CUST_01169,regular,1,temporary_bank_failure,12519.3,retry,Action passed all guardrails.,passed,0.779758097188892,9762.025546136894,2.0,9760.025546136894
CASE_000092,CUST_00814,regular,1,temporary_bank_failure,49096.47,retry,Action passed all guardrails.,passed,0.759141498541609,37271.16780890315,2.0,37269.16780890315
CASE_000093,CUST_00087,regular,1,authentication_failed,19123.32,reminder,Action passed all guardrails.,passed,0.542310339317384,10370.774158074915,5.0,10365.774158074915
CASE_000094,CUST_01603,regular,1,temporary_bank_failure,49898.51,retry,Action passed all guardrails.,passed,0.8314410669193822,41487.67039208746,2.0,41485.67039208746
CASE_000095,CUST_01944,regular,1,insufficient_funds,8490.29,reminder,Action passed all guardrails.,passed,0.5586309164750651,4742.9384838390815,5.0,4737.9384838390815
CASE_000096,CUST_01622,regular,1,expired_instrument,23074.16,reminder,Action passed all guardrails.,passed,0.5602327636741808,12926.900426260236,5.0,12921.900426260236
CASE_000097,CUST_01835,new,1,temporary_bank_failure,9321.75,retry,Action passed all guardrails.,passed,0.7492542842386575,6984.361124101705,2.0,6982.361124101705
CASE_000098,CUST_00502,regular,1,authentication_failed,10287.69,reminder,Action passed all guardrails.,passed,0.5640955852944338,5803.240511877694,5.0,5798.240511877694
CASE_000099,CUST_00558,new,1,expired_instrument,12827.74,reminder,Action passed all guardrails.,passed,0.4657850653579583,5974.969714294895,5.0,5969.969714294895
CASE_000100,CUST_01054,regular,1,risk_decline,7775.74,reminder,Action passed all guardrails.,passed,0.2272190823777693,1766.796507608116,5.0,1761.796507608116
CASE_000101,CUST_01156,regular,1,temporary_bank_failure,41554.33,retry,Action passed all guardrails.,passed,0.7544981539678325,31352.665274370123,2.0,31350.665274370123
CASE_000102,CUST_00786,new,1,limit_exceeded,10809.82,reminder,Action passed all guardrails.,passed,0.5223293421088838,5646.286168915454,5.0,5641.286168915454
CASE_000103,CUST_00155,regular,1,unknown_failure,31464.65,escalate,Case routed to manual review.,passed,0.4927259601059262,15503.449880646933,25.0,15478.449880646933
CASE_000104,CUST_01964,regular,1,unknown_failure,5737.27,reminder,Action passed all guardrails.,passed,0.484682353770196,2780.7535278151327,5.0,2775.7535278151327
CASE_000105,CUST_00480,regular,1,unknown_failure,46040.21,reminder,Action passed all guardrails.,passed,0.4236695857648851,19505.836699228323,5.0,19500.836699228323
CASE_000106,CUST_01828,new,1,timeout,20453.0,escalate,Case routed to manual review.,passed,0.624220226428994,12767.176291152216,25.0,12742.176291152216
CASE_000107,CUST_00293,regular,1,timeout,45932.73,retry,Action passed all guardrails.,passed,0.6380488173131813,29307.324052465683,2.0,29305.324052465683
CASE_000108,CUST_01329,regular,1,timeout,32476.76,escalate,Case routed to manual review.,passed,0.6405111759415867,20801.727738372683,25.0,20776.727738372683
CASE_000109,CUST_01644,regular,1,unknown_failure,35686.1,escalate,Case routed to manual review.,passed,0.5177887836353698,18477.862311690173,25.0,18452.862311690173
CASE_000110,CUST_00029,regular,1,temporary_bank_failure,3167.09,retry,Action passed all guardrails.,passed,0.8003894828000907,2534.905527081339,2.0,2532.905527081339
CASE_000111,CUST_00174,regular,1,limit_exceeded,29577.92,reminder,Action passed all guardrails.,passed,0.3788461686768238,11205.4816694296,5.0,11200.4816694296
CASE_000112,CUST_01889,regular,1,insufficient_funds,31356.48,reminder,Action passed all guardrails.,passed,0.529572253953558,16605.52178964966,5.0,16600.52178964966
CASE_000113,CUST_00147,new,1,temporary_bank_failure,4050.58,retry,Action passed all guardrails.,passed,0.771689678013907,3125.7907759695718,2.0,3123.7907759695718
CASE_000114,CUST_00951,regular,0,temporary_bank_failure,42848.81,retry,Action passed all guardrails.,passed,0.7317006103558192,31352.50043002053,2.0,31350.50043002053
CASE_000115,CUST_00283,regular,1,insufficient_funds,29937.16,reminder,Action passed all guardrails.,passed,0.5312348268148451,15903.66200792831,5.0,15898.66200792831
CASE_000116,CUST_00770,high_value,1,timeout,62016.38,escalate,Case routed to manual review.,passed,0.6589036259984656,40862.81765329872,25.0,40837.81765329872
CASE_000117,CUST_01259,regular,1,temporary_bank_failure,9622.16,retry,Action passed all guardrails.,passed,0.8472358672658048,8152.239072570336,2.0,8150.239072570336
CASE_000118,CUST_00562,high_value,1,insufficient_funds,56444.35,reminder,High-value case permitted for controlled recovery.,passed,0.588464943886586,33215.52125546482,5.0,33210.52125546482
CASE_000119,CUST_00568,regular,1,insufficient_funds,3556.4,reminder,Action passed all guardrails.,passed,0.5672256022432671,2017.2811318179552,5.0,2012.2811318179552
CASE_000120,CUST_01809,regular,1,insufficient_funds,7247.83,reminder,Action passed all guardrails.,passed,0.596802564029673,4325.523527651185,5.0,4320.523527651185
CASE_000121,CUST_00141,high_value,1,authentication_failed,29669.8,reminder,Action passed all guardrails.,passed,0.5554665631224027,16480.581834529065,5.0,16475.581834529065
CASE_000122,CUST_00412,high_value,0,timeout,85018.62,escalate,Case routed to manual review.,passed,0.6289075022601023,53468.84794980077,25.0,53443.84794980077
CASE_000123,CUST_00631,regular,1,expired_instrument,46376.55,reminder,Action passed all guardrails.,passed,0.5875991758138032,27250.822557087635,5.0,27245.822557087635
CASE_000124,CUST_01973,new,1,unknown_failure,2980.8,reminder,Action passed all guardrails.,passed,0.4166482419475887,1241.9450795973726,5.0,1236.9450795973726
CASE_000125,CUST_01506,high_value,1,insufficient_funds,80819.82,reminder,High-value case permitted for controlled recovery.,passed,0.5857732484695531,47342.08850212456,5.0,47337.08850212456
CASE_000126,CUST_00642,regular,1,insufficient_funds,6741.08,reminder,Action passed all guardrails.,passed,0.601491369488675,4054.701441032717,5.0,4049.701441032717
CASE_000127,CUST_01536,regular,0,insufficient_funds,2353.61,escalate,Case routed to manual review.,passed,0.5094287703033109,1198.9966480735757,25.0,1173.9966480735757
CASE_000128,CUST_01255,regular,1,timeout,31347.88,retry,Action passed all guardrails.,passed,0.6379989486140718,19999.91448128009,2.0,19997.91448128009
CASE_000129,CUST_00108,regular,1,limit_exceeded,15252.06,reminder,Action passed all guardrails.,passed,0.5029720806405903,7671.360352255121,5.0,7666.360352255121
CASE_000130,CUST_00449,new,1,expired_instrument,8991.86,reminder,Action passed all guardrails.,passed,0.5007301422342157,4502.495336750156,5.0,4497.495336750156
CASE_000131,CUST_00735,new,1,authentication_failed,16964.39,reminder,Action passed all guardrails.,passed,0.5072437259513645,8605.080392092068,5.0,8600.080392092068
CASE_000132,CUST_01226,new,1,insufficient_funds,2481.14,reminder,Action passed all guardrails.,passed,0.5995347281805655,1487.5295954779283,5.0,1482.5295954779283
CASE_000133,CUST_01915,new,1,timeout,3273.69,retry,Action passed all guardrails.,passed,0.718455387344865,2352.000216997011,2.0,2350.000216997011
CASE_000134,CUST_00462,new,1,risk_decline,1114.85,reminder,Action passed all guardrails.,passed,0.1324636954713874,147.67715089627626,5.0,142.67715089627626
CASE_000135,CUST_00946,new,1,insufficient_funds,5300.8,reminder,Action passed all guardrails.,passed,0.5663522211758053,3002.119854008709,5.0,2997.119854008709
CASE_000136,CUST_00725,regular,1,temporary_bank_failure,8689.05,retry,Action passed all guardrails.,passed,0.7943357604667225,6902.023139483375,2.0,6900.023139483375
CASE_000137,CUST_00533,regular,1,timeout,23870.25,retry,Action passed all guardrails.,passed,0.7201512543347078,17190.19047878306,2.0,17188.19047878306
CASE_000138,CUST_00903,regular,1,insufficient_funds,43892.75,reminder,Action passed all guardrails.,passed,0.5983281379335762,26262.267376283977,5.0,26257.267376283977
CASE_000139,CUST_01857,regular,1,authentication_failed,5046.68,reminder,Action passed all guardrails.,passed,0.5301800302281452,2675.648954951776,5.0,2670.648954951776
CASE_000140,CUST_00328,regular,1,temporary_bank_failure,3938.6,retry,Action passed all guardrails.,passed,0.8376154285110734,3299.032126733713,2.0,3297.032126733713
CASE_000141,CUST_01824,regular,1,temporary_bank_failure,30031.77,retry,Action passed all guardrails.,passed,0.8183167102985351,24575.49923084224,2.0,24573.49923084224
CASE_000142,CUST_00425,regular,1,timeout,12684.86,escalate,Case routed to manual review.,passed,0.7375783739075836,9356.078412045352,25.0,9331.078412045352
CASE_000143,CUST_01230,regular,1,insufficient_funds,19834.28,escalate,Case routed to manual review.,passed,0.5800646211269558,11505.164113525956,25.0,11480.164113525956
CASE_000144,CUST_01827,new,1,risk_decline,14647.69,reminder,Action passed all guardrails.,passed,0.2062719734571037,3021.4079228878845,5.0,3016.4079228878845
CASE_000145,CUST_01385,regular,1,insufficient_funds,17632.55,reminder,Action passed all guardrails.,passed,0.5786225996553868,10202.59191955359,5.0,10197.59191955359
CASE_000146,CUST_01742,regular,1,temporary_bank_failure,25038.86,retry,Action passed all guardrails.,passed,0.7689849341013092,19254.506107071906,2.0,19252.506107071906
CASE_000147,CUST_00869,new,1,unknown_failure,10514.62,reminder,Action passed all guardrails.,passed,0.4595314956245999,4831.799054524331,5.0,4826.799054524331
CASE_000148,CUST_01238,new,1,authentication_failed,13946.24,reminder,Action passed all guardrails.,passed,0.5078074263978781,7082.004242327143,5.0,7077.004242327143
CASE_000149,CUST_00824,regular,0,risk_decline,22826.27,escalate,Case routed to manual review.,passed,0.1907572108861936,4354.275600135195,25.0,4329.275600135195
CASE_000150,CUST_00980,high_value,1,temporary_bank_failure,13917.4,retry,Action passed all guardrails.,passed,0.8279453764610987,11522.846982359695,2.0,11520.846982359695
CASE_000151,CUST_01499,new,1,insufficient_funds,11625.52,reminder,Action passed all guardrails.,passed,0.6624520673065545,7701.349757513695,5.0,7696.349757513695
CASE_000152,CUST_00808,high_value,1,insufficient_funds,84956.19,reminder,High-value case permitted for controlled recovery.,passed,0.6247244208700655,53074.20659707725,5.0,53069.20659707725
CASE_000153,CUST_00396,regular,1,limit_exceeded,30901.78,reminder,Action passed all guardrails.,passed,0.4854061650302143,14999.914522407376,5.0,14994.914522407376
CASE_000154,CUST_01158,new,1,temporary_bank_failure,12168.32,retry,Action passed all guardrails.,passed,0.7416769631109073,9024.962623761714,2.0,9022.962623761714
CASE_000155,CUST_00363,new,1,temporary_bank_failure,14480.07,escalate,Case routed to manual review.,passed,0.7463355643617836,10806.991215448132,25.0,10781.991215448132
CASE_000156,CUST_01366,regular,1,timeout,44161.32,retry,Action passed all guardrails.,passed,0.72341850239209,31947.115978057853,2.0,31945.115978057853
CASE_000157,CUST_00099,high_value,1,insufficient_funds,36951.68,reminder,Action passed all guardrails.,passed,0.5618641047813497,20761.822603366905,5.0,20756.822603366905
CASE_000158,CUST_01267,regular,1,insufficient_funds,37013.35,reminder,Action passed all guardrails.,passed,0.6049772538751723,22392.234839720608,5.0,22387.234839720608
CASE_000159,CUST_01579,regular,1,temporary_bank_failure,44837.23,retry,Action passed all guardrails.,passed,0.7121973190885265,31932.95500135565,2.0,31930.95500135565
CASE_000160,CUST_01730,regular,1,unknown_failure,24574.51,reminder,Action passed all guardrails.,passed,0.5294390419123962,13010.705029866598,5.0,13005.705029866598
CASE_000161,CUST_01918,regular,1,timeout,34065.21,retry,Action passed all guardrails.,passed,0.6173178830049973,21029.063321320664,2.0,21027.063321320664
CASE_000162,CUST_00176,regular,1,risk_decline,4792.87,escalate,Case routed to manual review.,passed,0.2958410466332588,1417.9276771771472,25.0,1392.9276771771472
CASE_000163,CUST_01529,new,1,unknown_failure,9327.15,escalate,Case routed to manual review.,passed,0.4485550318202976,4183.740065042689,25.0,4158.740065042689
CASE_000164,CUST_01391,new,1,insufficient_funds,2419.15,reminder,Action passed all guardrails.,passed,0.6098629609600013,1475.349982006387,5.0,1470.349982006387
CASE_000165,CUST_00242,regular,1,expired_instrument,9678.71,reminder,Action passed all guardrails.,passed,0.5517350328386726,5340.083379685989,5.0,5335.083379685989
CASE_000166,CUST_01391,new,1,expired_instrument,19581.77,reminder,Action passed all guardrails.,passed,0.583732240054888,11430.510466339603,5.0,11425.510466339603
CASE_000167,CUST_00054,regular,1,insufficient_funds,11341.74,reminder,Action passed all guardrails.,passed,0.6225137020884252,7060.388555524375,5.0,7055.388555524375
CASE_000168,CUST_00178,high_value,1,risk_decline,93817.18,reminder,High-value case permitted for controlled recovery.,passed,0.2594366151565806,24339.61162273565,5.0,24334.61162273565
CASE_000169,CUST_01725,high_value,1,timeout,37186.36,escalate,Case routed to manual review.,passed,0.5871342708447076,21833.3863639688,25.0,21808.3863639688
CASE_000170,CUST_01097,regular,1,temporary_bank_failure,38764.1,retry,Action passed all guardrails.,passed,0.775354407119366,30055.91577301581,2.0,30053.91577301581
CASE_000171,CUST_01291,new,1,temporary_bank_failure,19643.13,retry,Action passed all guardrails.,passed,0.7898353062850224,15514.837599946512,2.0,15512.837599946512
CASE_000172,CUST_00245,regular,1,unknown_failure,18867.16,reminder,Action passed all guardrails.,passed,0.4929379375768813,9300.338938333032,5.0,9295.338938333032
CASE_000173,CUST_00303,regular,1,authentication_failed,22579.36,reminder,Action passed all guardrails.,passed,0.567026839557893,12803.103140039908,5.0,12798.103140039908
CASE_000174,CUST_01803,regular,0,authentication_failed,44220.41,escalate,Case routed to manual review.,passed,0.4642977759583944,20531.438014968346,25.0,20506.438014968346
CASE_000175,CUST_01441,regular,1,insufficient_funds,28947.41,reminder,Action passed all guardrails.,passed,0.5526750240540793,15998.510518053296,5.0,15993.510518053296
CASE_000176,CUST_01490,regular,1,authentication_failed,3894.18,reminder,Action passed all guardrails.,passed,0.5805628295223169,2260.816159469216,5.0,2255.816159469216
CASE_000177,CUST_00871,regular,1,limit_exceeded,27802.11,reminder,Action passed all guardrails.,passed,0.5057939646426086,14062.139442329915,5.0,14057.139442329915
