case_id,failure_category,customer_segment,amount_bucket,action,attempt_number,recovery_amount,customer_lifetime_value,successful_payment_count,failed_payment_count,total_payment_attempts,historical_failure_rate,communication_opt_in,recovered
CASE_000015,insufficient_funds,regular,5k_25k,retry,1,15404.32,88263.94,1,2,3,0.6666666666666666,1,0
CASE_000015,insufficient_funds,regular,5k_25k,reminder,1,15404.32,88263.94,1,2,3,0.6666666666666666,1,1
CASE_000015,insufficient_funds,regular,5k_25k,escalate,1,15404.32,88263.94,1,2,3,0.6666666666666666,1,0
CASE_000016,unknown_failure,regular,25k_100k,retry,1,27718.35,52988.53,3,1,4,0.25,1,0
CASE_000016,unknown_failure,regular,25k_100k,reminder,1,27718.35,52988.53,3,1,4,0.25,1,0
CASE_000016,unknown_failure,regular,25k_100k,escalate,1,27718.35,52988.53,3,1,4,0.25,1,1
CASE_000017,unknown_failure,regular,5k_25k,retry,1,9395.95,88466.48,0,2,2,1.0,0,0
CASE_000017,unknown_failure,regular,5k_25k,reminder,1,9395.95,88466.48,0,2,2,1.0,0,1
CASE_000017,unknown_failure,regular,5k_25k,escalate,1,9395.95,88466.48,0,2,2,1.0,0,1
CASE_000018,unknown_failure,regular,5k_25k,retry,1,19908.85,36344.58,2,1,3,0.3333333333333333,0,0
CASE_000018,unknown_failure,regular,5k_25k,reminder,1,19908.85,36344.58,2,1,3,0.3333333333333333,0,1
CASE_000018,unknown_failure,regular,5k_25k,escalate,1,19908.85,36344.58,2,1,3,0.3333333333333333,0,1
CASE_000019,insufficient_funds,new,0_5k,retry,1,4684.36,15394.82,2,1,3,0.3333333333333333,1,0
CASE_000019,insufficient_funds,new,0_5k,reminder,1,4684.36,15394.82,2,1,3,0.3333333333333333,1,0
CASE_000019,insufficient_funds,new,0_5k,escalate,1,4684.36,15394.82,2,1,3,0.3333333333333333,1,0
CASE_000020,blocked_instrument,regular,25k_100k,retry,1,31815.77,76101.78,7,1,8,0.125,1,0
CASE_000020,blocked_instrument,regular,25k_100k,reminder,1,31815.77,76101.78,7,1,8,0.125,1,0
CASE_000020,blocked_instrument,regular,25k_100k,escalate,1,31815.77,76101.78,7,1,8,0.125,1,1
CASE_000021,timeout,regular,5k_25k,retry,1,8465.23,98240.03,3,3,6,0.5,1,0
CASE_000021,timeout,regular,5k_25k,reminder,1,8465.23,98240.03,3,3,6,0.5,1,1
CASE_000021,timeout,regular,5k_25k,escalate,1,8465.23,98240.03,3,3,6,0.5,1,1
CASE_000022,temporary_bank_failure,new,5k_25k,retry,1,13338.08,11396.26,3,1,4,0.25,1,1
CASE_000022,temporary_bank_failure,new,5k_25k,reminder,1,13338.08,11396.26,3,1,4,0.25,1,1
CASE_000022,temporary_bank_failure,new,5k_25k,escalate,1,13338.08,11396.26,3,1,4,0.25,1,0
CASE_000023,timeout,regular,5k_25k,retry,1,12992.05,40937.15,4,1,5,0.2,1,1
CASE_000023,timeout,regular,5k_25k,reminder,1,12992.05,40937.15,4,1,5,0.2,1,0
CASE_000023,timeout,regular,5k_25k,escalate,1,12992.05,40937.15,4,1,5,0.2,1,1
CASE_000024,unknown_failure,high_value,5k_25k,retry,1,6881.27,120469.3,3,1,4,0.25,1,1
CASE_000024,unknown_failure,high_value,5k_25k,reminder,1,6881.27,120469.3,3,1,4,0.25,1,1
CASE_000024,unknown_failure,high_value,5k_25k,escalate,1,6881.27,120469.3,3,1,4,0.25,1,0
CASE_000025,insufficient_funds,new,5k_25k,retry,1,17812.74,18881.26,4,2,6,0.3333333333333333,1,0
CASE_000025,insufficient_funds,new,5k_25k,reminder,1,17812.74,18881.26,4,2,6,0.3333333333333333,1,0
CASE_000025,insufficient_funds,new,5k_25k,escalate,1,17812.74,18881.26,4,2,6,0.3333333333333333,1,1
CASE_000026,authentication_failed,new,5k_25k,retry,1,7586.59,14804.62,1,1,2,0.5,1,0
CASE_000026,authentication_failed,new,5k_25k,reminder,1,7586.59,14804.62,1,1,2,0.5,1,0
CASE_000026,authentication_failed,new,5k_25k,escalate,1,7586.59,14804.62,1,1,2,0.5,1,0
CASE_000027,unknown_failure,high_value,25k_100k,retry,1,38704.19,180217.86,4,1,5,0.2,1,0
CASE_000027,unknown_failure,high_value,25k_100k,reminder,1,38704.19,180217.86,4,1,5,0.2,1,0
CASE_000027,unknown_failure,high_value,25k_100k,escalate,1,38704.19,180217.86,4,1,5,0.2,1,1
CASE_000028,insufficient_funds,regular,25k_100k,retry,1,49243.32,27090.87,3,1,4,0.25,1,0
CASE_000028,insufficient_funds,regular,25k_100k,reminder,1,49243.32,27090.87,3,1,4,0.25,1,0
CASE_000028,insufficient_funds,regular,25k_100k,escalate,1,49243.32,27090.87,3,1,4,0.25,1,1
CASE_000029,insufficient_funds,regular,5k_25k,retry,1,8920.39,49086.71,3,2,5,0.4,1,1
CASE_000029,insufficient_funds,regular,5k_25k,reminder,1,8920.39,49086.71,3,2,5,0.4,1,1
CASE_000029,insufficient_funds,regular,5k_25k,escalate,1,8920.39,49086.71,3,2,5,0.4,1,1
CASE_000030,insufficient_funds,regular,25k_100k,retry,1,37604.95,67162.74,3,1,4,0.25,0,0
CASE_000030,insufficient_funds,regular,25k_100k,reminder,1,37604.95,67162.74,3,1,4,0.25,0,1
CASE_000030,insufficient_funds,regular,25k_100k,escalate,1,37604.95,67162.74,3,1,4,0.25,0,0
CASE_000031,temporary_bank_failure,regular,25k_100k,retry,1,40773.77,24951.5,4,2,6,0.3333333333333333,1,1
CASE_000031,temporary_bank_failure,regular,25k_100k,reminder,1,40773.77,24951.5,4,2,6,0.3333333333333333,1,1
CASE_000031,temporary_bank_failure,regular,25k_100k,escalate,1,40773.77,24951.5,4,2,6,0.3333333333333333,1,0
CASE_000032,unknown_failure,regular,5k_25k,retry,1,14019.67,84041.59,2,3,5,0.6,1,1
CASE_000032,unknown_failure,regular,5k_25k,reminder,1,14019.67,84041.59,2,3,5,0.6,1,1
CASE_000032,unknown_failure,regular,5k_25k,escalate,1,14019.67,84041.59,2,3,5,0.6,1,0
CASE_000033,insufficient_funds,new,5k_25k,retry,1,13155.67,19379.76,1,1,2,0.5,1,0
CASE_000033,insufficient_funds,new,5k_25k,reminder,1,13155.67,19379.76,1,1,2,0.5,1,1
CASE_000033,insufficient_funds,new,5k_25k,escalate,1,13155.67,19379.76,1,1,2,0.5,1,0
CASE_000034,blocked_instrument,regular,5k_25k,retry,1,14162.24,52337.24,2,1,3,0.3333333333333333,0,0
CASE_000034,blocked_instrument,regular,5k_25k,reminder,1,14162.24,52337.24,2,1,3,0.3333333333333333,0,0
CASE_000034,blocked_instrument,regular,5k_25k,escalate,1,14162.24,52337.24,2,1,3,0.3333333333333333,0,0
CASE_000035,risk_decline,regular,25k_100k,retry,1,35404.43,31535.55,4,1,5,0.2,1,0
CASE_000035,risk_decline,regular,25k_100k,reminder,1,35404.43,31535.55,4,1,5,0.2,1,0
CASE_000035,risk_decline,regular,25k_100k,escalate,1,35404.43,31535.55,4,1,5,0.2,1,0
CASE_000036,insufficient_funds,regular,5k_25k,retry,1,5234.47,38634.54,3,1,4,0.25,1,1
CASE_000036,insufficient_funds,regular,5k_25k,reminder,1,5234.47,38634.54,3,1,4,0.25,1,1
CASE_000036,insufficient_funds,regular,5k_25k,escalate,1,5234.47,38634.54,3,1,4,0.25,1,0
CASE_000037,insufficient_funds,regular,25k_100k,retry,1,41435.35,38324.4,2,2,4,0.5,1,0
CASE_000037,insufficient_funds,regular,25k_100k,reminder,1,41435.35,38324.4,2,2,4,0.5,1,1
CASE_000037,insufficient_funds,regular,25k_100k,escalate,1,41435.35,38324.4,2,2,4,0.5,1,1
CASE_000038,authentication_failed,regular,5k_25k,retry,1,17857.47,67920.3,2,1,3,0.3333333333333333,1,0
CASE_000038,authentication_failed,regular,5k_25k,reminder,1,17857.47,67920.3,2,1,3,0.3333333333333333,1,1
CASE_000038,authentication_failed,regular,5k_25k,escalate,1,17857.47,67920.3,2,1,3,0.3333333333333333,1,0
CASE_000039,insufficient_funds,new,0_5k,retry,1,2795.31,1197.13,3,2,5,0.4,1,0
CASE_000039,insufficient_funds,new,0_5k,reminder,1,2795.31,1197.13,3,2,5,0.4,1,1
CASE_000039,insufficient_funds,new,0_5k,escalate,1,2795.31,1197.13,3,2,5,0.4,1,1
CASE_000040,insufficient_funds,new,5k_25k,retry,1,16512.68,10600.12,2,5,7,0.7142857142857143,1,0
CASE_000040,insufficient_funds,new,5k_25k,reminder,1,16512.68,10600.12,2,5,7,0.7142857142857143,1,1
CASE_000040,insufficient_funds,new,5k_25k,escalate,1,16512.68,10600.12,2,5,7,0.7142857142857143,1,1
CASE_000041,timeout,regular,5k_25k,retry,1,24066.75,72817.42,4,1,5,0.2,1,1
CASE_000041,timeout,regular,5k_25k,reminder,1,24066.75,72817.42,4,1,5,0.2,1,0
CASE_000041,timeout,regular,5k_25k,escalate,1,24066.75,72817.42,4,1,5,0.2,1,1
CASE_000042,unknown_failure,regular,25k_100k,retry,1,33671.45,20408.05,1,1,2,0.5,1,0
CASE_000042,unknown_failure,regular,25k_100k,reminder,1,33671.45,20408.05,1,1,2,0.5,1,0
CASE_000042,unknown_failure,regular,25k_100k,escalate,1,33671.45,20408.05,1,1,2,0.5,1,0
CASE_000043,limit_exceeded,new,5k_25k,retry,1,12026.69,19702.19,3,3,6,0.5,1,1
CASE_000043,limit_exceeded,new,5k_25k,reminder,1,12026.69,19702.19,3,3,6,0.5,1,1
CASE_000043,limit_exceeded,new,5k_25k,escalate,1,12026.69,19702.19,3,3,6,0.5,1,0
CASE_000044,limit_exceeded,regular,5k_25k,retry,1,16785.24,53001.52,2,2,4,0.5,1,0
CASE_000044,limit_exceeded,regular,5k_25k,reminder,1,16785.24,53001.52,2,2,4,0.5,1,0
CASE_000044,limit_exceeded,regular,5k_25k,escalate,1,16785.24,53001.52,2,2,4,0.5,1,0
CASE_000045,insufficient_funds,high_value,5k_25k,retry,1,14899.58,234192.66,2,1,3,0.3333333333333333,1,0
CASE_000045,insufficient_funds,high_value,5k_25k,reminder,1,14899.58,234192.66,2,1,3,0.3333333333333333,1,1
CASE_000045,insufficient_funds,high_value,5k_25k,escalate,1,14899.58,234192.66,2,1,3,0.3333333333333333,1,1
CASE_000046,temporary_bank_failure,regular,25k_100k,retry,1,39690.25,91475.97,6,2,8,0.25,1,1
CASE_000046,temporary_bank_failure,regular,25k_100k,reminder,1,39690.25,91475.97,6,2,8,0.25,1,1
CASE_000046,temporary_bank_failure,regular,25k_100k,escalate,1,39690.25,91475.97,6,2,8,0.25,1,1
CASE_000047,timeout,regular,5k_25k,retry,1,6902.33,86514.1,3,3,6,0.5,1,1
CASE_000047,timeout,regular,5k_25k,reminder,1,6902.33,86514.1,3,3,6,0.5,1,1
CASE_000047,timeout,regular,5k_25k,escalate,1,6902.33,86514.1,3,3,6,0.5,1,1
CASE_000048,insufficient_funds,regular,5k_25k,retry,1,18447.18,71858.38,2,1,3,0.3333333333333333,1,0
CASE_000048,insufficient_funds,regular,5k_25k,reminder,1,18447.18,71858.38,2,1,3,0.3333333333333333,1,0
CASE_000048,insufficient_funds,regular,5k_25k,escalate,1,18447.18,71858.38,2,1,3,0.3333333333333333,1,1
CASE_000049,temporary_bank_failure,regular,25k_100k,retry,1,30067.05,31534.6,7,1,8,0.125,1,1
CASE_000049,temporary_bank_failure,regular,25k_100k,reminder,1,30067.05,31534.6,7,1,8,0.125,1,1
CASE_000049,temporary_bank_failure,regular,25k_100k,escalate,1,30067.05,31534.6,7,1,8,0.125,1,1
CASE_000050,insufficient_funds,new,5k_25k,retry,1,14220.9,19702.19,3,3,6,0.5,1,0
CASE_000050,insufficient_funds,new,5k_25k,reminder,1,14220.9,19702.19,3,3,6,0.5,1,1
CASE_000050,insufficient_funds,new,5k_25k,escalate,1,14220.9,19702.19,3,3,6,0.5,1,1
CASE_000051,timeout,regular,5k_25k,retry,1,16695.03,79387.69,4,1,5,0.2,1,1
CASE_000051,timeout,regular,5k_25k,reminder,1,16695.03,79387.69,4,1,5,0.2,1,0
CASE_000051,timeout,regular,5k_25k,escalate,1,16695.03,79387.69,4,1,5,0.2,1,1
CASE_000052,unknown_failure,regular,25k_100k,retry,1,42955.24,58295.68,8,2,10,0.2,1,0
CASE_000052,unknown_failure,regular,25k_100k,reminder,1,42955.24,58295.68,8,2,10,0.2,1,0
CASE_000052,unknown_failure,regular,25k_100k,escalate,1,42955.24,58295.68,8,2,10,0.2,1,1
CASE_000053,insufficient_funds,regular,25k_100k,retry,1,47520.88,36799.6,0,2,2,1.0,1,1
CASE_000053,insufficient_funds,regular,25k_100k,reminder,1,47520.88,36799.6,0,2,2,1.0,1,1
CASE_000053,insufficient_funds,regular,25k_100k,escalate,1,47520.88,36799.6,0,2,2,1.0,1,1
CASE_000054,temporary_bank_failure,regular,5k_25k,retry,1,5481.62,50583.42,0,2,2,1.0,1,1
CASE_000054,temporary_bank_failure,regular,5k_25k,reminder,1,5481.62,50583.42,0,2,2,1.0,1,0
CASE_000054,temporary_bank_failure,regular,5k_25k,escalate,1,5481.62,50583.42,0,2,2,1.0,1,0
CASE_000055,insufficient_funds,regular,25k_100k,retry,1,33687.49,44044.96,3,1,4,0.25,1,0
CASE_000055,insufficient_funds,regular,25k_100k,reminder,1,33687.49,44044.96,3,1,4,0.25,1,1
CASE_000055,insufficient_funds,regular,25k_100k,escalate,1,33687.49,44044.96,3,1,4,0.25,1,1
CASE_000056,blocked_instrument,new,5k_25k,retry,1,8672.46,13816.66,4,2,6,0.3333333333333333,1,0
CASE_000056,blocked_instrument,new,5k_25k,reminder,1,8672.46,13816.66,4,2,6,0.3333333333333333,1,0
CASE_000056,blocked_instrument,new,5k_25k,escalate,1,8672.46,13816.66,4,2,6,0.3333333333333333,1,0
CASE_000057,risk_decline,regular,5k_25k,retry,1,24457.64,94651.62,1,1,2,0.5,1,0
CASE_000057,risk_decline,regular,5k_25k,reminder,1,24457.64,94651.62,1,1,2,0.5,1,0
CASE_000057,risk_decline,regular,5k_25k,escalate,1,24457.64,94651.62,1,1,2,0.5,1,0
CASE_000058,risk_decline,regular,25k_100k,retry,1,46323.85,24337.22,1,1,2,0.5,1,0
CASE_000058,risk_decline,regular,25k_100k,reminder,1,46323.85,24337.22,1,1,2,0.5,1,0
CASE_000058,risk_decline,regular,25k_100k,escalate,1,46323.85,24337.22,1,1,2,0.5,1,0
CASE_000059,temporary_bank_failure,high_value,25k_100k,retry,1,91833.35,192751.94,4,2,6,0.3333333333333333,1,1
CASE_000059,temporary_bank_failure,high_value,25k_100k,reminder,1,91833.35,192751.94,4,2,6,0.3333333333333333,1,1
CASE_000059,temporary_bank_failure,high_value,25k_100k,escalate,1,91833.35,192751.94,4,2,6,0.3333333333333333,1,0
CASE_000060,insufficient_funds,regular,25k_100k,retry,1,34166.7,79359.22,3,1,4,0.25,1,0
CASE_000060,insufficient_funds,regular,25k_100k,reminder,1,34166.7,79359.22,3,1,4,0.25,1,1
CASE_000060,insufficient_funds,regular,25k_100k,escalate,1,34166.7,79359.22,3,1,4,0.25,1,0
CASE_000061,risk_decline,new,5k_25k,retry,1,19293.13,19538.62,4,2,6,0.3333333333333333,1,0
CASE_000061,risk_decline,new,5k_25k,reminder,1,19293.13,19538.62,4,2,6,0.3333333333333333,1,0
CASE_000061,risk_decline,new,5k_25k,escalate,1,19293.13,19538.62,4,2,6,0.3333333333333333,1,0
CASE_000062,temporary_bank_failure,regular,25k_100k,retry,1,38867.89,82582.76,1,1,2,0.5,1,1
CASE_000062,temporary_bank_failure,regular,25k_100k,reminder,1,38867.89,82582.76,1,1,2,0.5,1,1
CASE_000062,temporary_bank_failure,regular,25k_100k,escalate,1,38867.89,82582.76,1,1,2,0.5,1,0
CASE_000063,risk_decline,regular,25k_100k,retry,1,33989.35,20464.22,5,2,7,0.2857142857142857,1,0
CASE_000063,risk_decline,regular,25k_100k,reminder,1,33989.35,20464.22,5,2,7,0.2857142857142857,1,0
CASE_000063,risk_decline,regular,25k_100k,escalate,1,33989.35,20464.22,5,2,7,0.2857142857142857,1,0
CASE_000064,risk_decline,new,5k_25k,retry,1,14719.8,4894.73,1,2,3,0.6666666666666666,1,0
CASE_000064,risk_decline,new,5k_25k,reminder,1,14719.8,4894.73,1,2,3,0.6666666666666666,1,1
CASE_000064,risk_decline,new,5k_25k,escalate,1,14719.8,4894.73,1,2,3,0.6666666666666666,1,0
CASE_000065,timeout,regular,25k_100k,retry,1,48965.38,62988.03,2,1,3,0.3333333333333333,1,1
CASE_000065,timeout,regular,25k_100k,reminder,1,48965.38,62988.03,2,1,3,0.3333333333333333,1,1
CASE_000065,timeout,regular,25k_100k,escalate,1,48965.38,62988.03,2,1,3,0.3333333333333333,1,1
CASE_000066,expired_instrument,regular,25k_100k,retry,1,38523.6,81798.48,0,1,1,1.0,1,0
CASE_000066,expired_instrument,regular,25k_100k,reminder,1,38523.6,81798.48,0,1,1,1.0,1,0
CASE_000066,expired_instrument,regular,25k_100k,escalate,1,38523.6,81798.48,0,1,1,1.0,1,0
CASE_000067,authentication_failed,high_value,5k_25k,retry,1,19461.02,192751.94,4,2,6,0.3333333333333333,1,1
CASE_000067,authentication_failed,high_value,5k_25k,reminder,1,19461.02,192751.94,4,2,6,0.3333333333333333,1,0
CASE_000067,authentication_failed,high_value,5k_25k,escalate,1,19461.02,192751.94,4,2,6,0.3333333333333333,1,1
CASE_000068,temporary_bank_failure,new,5k_25k,retry,1,15711.46,19316.54,2,3,5,0.6,0,1
CASE_000068,temporary_bank_failure,new,5k_25k,reminder,1,15711.46,19316.54,2,3,5,0.6,0,0
CASE_000068,temporary_bank_failure,new,5k_25k,escalate,1,15711.46,19316.54,2,3,5,0.6,0,0
CASE_000069,risk_decline,high_value,25k_100k,retry,1,72971.05,127041.92,6,1,7,0.14285714285714285,1,0
CASE_000069,risk_decline,high_value,25k_100k,reminder,1,72971.05,127041.92,6,1,7,0.14285714285714285,1,0
CASE_000069,risk_decline,high_value,25k_100k,escalate,1,72971.05,127041.92,6,1,7,0.14285714285714285,1,0
CASE_000070,expired_instrument,new,5k_25k,retry,1,18526.95,6668.13,1,3,4,0.75,1,0
CASE_000070,expired_instrument,new,5k_25k,reminder,1,18526.95,6668.13,1,3,4,0.75,1,1
CASE_000070,expired_instrument,new,5k_25k,escalate,1,18526.95,6668.13,1,3,4,0.75,1,0
CASE_000071,risk_decline,new,0_5k,retry,1,2067.05,19411.25,2,2,4,0.5,1,0
CASE_000071,risk_decline,new,0_5k,reminder,1,2067.05,19411.25,2,2,4,0.5,1,0
CASE_000071,risk_decline,new,0_5k,escalate,1,2067.05,19411.25,2,2,4,0.5,1,0
CASE_000072,expired_instrument,regular,25k_100k,retry,1,36302.18,96221.38,2,1,3,0.3333333333333333,1,0
CASE_000072,expired_instrument,regular,25k_100k,reminder,1,36302.18,96221.38,2,1,3,0.3333333333333333,1,1
CASE_000072,expired_instrument,regular,25k_100k,escalate,1,36302.18,96221.38,2,1,3,0.3333333333333333,1,0
CASE_000073,timeout,high_value,25k_100k,retry,1,84914.28,323668.13,2,1,3,0.3333333333333333,1,1
CASE_000073,timeout,high_value,25k_100k,reminder,1,84914.28,323668.13,2,1,3,0.3333333333333333,1,1
CASE_000073,timeout,high_value,25k_100k,escalate,1,84914.28,323668.13,2,1,3,0.3333333333333333,1,1
CASE_000074,authentication_failed,high_value,25k_100k,retry,1,45105.94,389987.91,0,2,2,1.0,1,1
CASE_000074,authentication_failed,high_value,25k_100k,reminder,1,45105.94,389987.91,0,2,2,1.0,1,0
CASE_000074,authentication_failed,high_value,25k_100k,escalate,1,45105.94,389987.91,0,2,2,1.0,1,0
CASE_000075,expired_instrument,high_value,25k_100k,retry,1,39268.71,423941.04,2,3,5,0.6,1,0
CASE_000075,expired_instrument,high_value,25k_100k,reminder,1,39268.71,423941.04,2,3,5,0.6,1,1
CASE_000075,expired_instrument,high_value,25k_100k,escalate,1,39268.71,423941.04,2,3,5,0.6,1,0
CASE_000076,authentication_failed,regular,5k_25k,retry,1,5711.61,54188.85,3,1,4,0.25,1,0
CASE_000076,authentication_failed,regular,5k_25k,reminder,1,5711.61,54188.85,3,1,4,0.25,1,1
CASE_000076,authentication_failed,regular,5k_25k,escalate,1,5711.61,54188.85,3,1,4,0.25,1,1
CASE_000077,timeout,new,5k_25k,retry,1,13017.55,9493.16,1,2,3,0.6666666666666666,1,1
CASE_000077,timeout,new,5k_25k,reminder,1,13017.55,9493.16,1,2,3,0.6666666666666666,1,1
CASE_000077,timeout,new,5k_25k,escalate,1,13017.55,9493.16,1,2,3,0.6666666666666666,1,1
CASE_000078,timeout,regular,25k_100k,retry,1,49995.32,53373.11,1,1,2,0.5,1,1
CASE_000078,timeout,regular,25k_100k,reminder,1,49995.32,53373.11,1,1,2,0.5,1,0
CASE_000078,timeout,regular,25k_100k,escalate,1,49995.32,53373.11,1,1,2,0.5,1,0
CASE_000079,unknown_failure,regular,25k_100k,retry,1,26460.05,94440.78,5,3,8,0.375,1,0
CASE_000079,unknown_failure,regular,25k_100k,reminder,1,26460.05,94440.78,5,3,8,0.375,1,1
CASE_000079,unknown_failure,regular,25k_100k,escalate,1,26460.05,94440.78,5,3,8,0.375,1,0
CASE_000080,insufficient_funds,regular,5k_25k,retry,1,10485.72,69826.09,2,3,5,0.6,1,0
CASE_000080,insufficient_funds,regular,5k_25k,reminder,1,10485.72,69826.09,2,3,5,0.6,1,1
CASE_000080,insufficient_funds,regular,5k_25k,escalate,1,10485.72,69826.09,2,3,5,0.6,1,1
CASE_000081,unknown_failure,high_value,25k_100k,retry,1,95885.6,159989.93,4,1,5,0.2,1,1
CASE_000081,unknown_failure,high_value,25k_100k,reminder,1,95885.6,159989.93,4,1,5,0.2,1,1
CASE_000081,unknown_failure,high_value,25k_100k,escalate,1,95885.6,159989.93,4,1,5,0.2,1,0
CASE_000082,blocked_instrument,new,5k_25k,retry,1,13322.33,14934.68,2,4,6,0.6666666666666666,1,0
CASE_000082,blocked_instrument,new,5k_25k,reminder,1,13322.33,14934.68,2,4,6,0.6666666666666666,1,0
CASE_000082,blocked_instrument,new,5k_25k,escalate,1,13322.33,14934.68,2,4,6,0.6666666666666666,1,1
CASE_000083,authentication_failed,high_value,25k_100k,retry,1,49033.25,319530.46,5,2,7,0.2857142857142857,1,1
CASE_000083,authentication_failed,high_value,25k_100k,reminder,1,49033.25,319530.46,5,2,7,0.2857142857142857,1,1
CASE_000083,authentication_failed,high_value,25k_100k,escalate,1,49033.25,319530.46,5,2,7,0.2857142857142857,1,0
CASE_000084,insufficient_funds,high_value,25k_100k,retry,1,83014.83,277900.33,3,3,6,0.5,1,1
CASE_000084,insufficient_funds,high_value,25k_100k,reminder,1,83014.83,277900.33,3,3,6,0.5,1,1
CASE_000084,insufficient_funds,high_value,25k_100k,escalate,1,83014.83,277900.33,3,3,6,0.5,1,1
CASE_000085,blocked_instrument,regular,5k_25k,retry,1,9783.88,72829.72,1,2,3,0.6666666666666666,1,0
CASE_000085,blocked_instrument,regular,5k_25k,reminder,1,9783.88,72829.72,1,2,3,0.6666666666666666,1,1
CASE_000085,blocked_instrument,regular,5k_25k,escalate,1,9783.88,72829.72,1,2,3,0.6666666666666666,1,1
